A,Mot
Archidiaconal,Archidiaconal
Archiepiscopal,Archiepiscopal
Archimandrite,Archimandrite
Archipelago,Quan dao
Architect,Kien truc su
Architectonic,Kien truc
Architecture,Nganh kien ????truc
Architrave,Luu tru
Archive,Luu tru
Archivist,Archivist
Archway,Cong to vo
Arctic,Bac cuc
Ardent,Gian nan
Ardor,Ardor
Ardour,Ardor
Arduous,Gian truan
Area,Dien tich
Aren't,Khong phai
Arena,Dau truong
Areola,Quang vu
Argent,Mau bac
Argon,Argon
Argosy,Argus
Argot,Tieng long
Argue,Tranh cai
Argument,Tranh luan
Argumentation,Lap luan
Argumentative,Lap luan
Argus,Argus
Argy-bargy,Argy bargy
Aria,Hang khong
Arid,Kho khan
Aries,Bach Duong
Aright,Duoc roi
Arise,Nay sinh
Aristocracy,Giai cap quy toc
Aristocrat,Quy toc
Aristocratic,Quy toc
Aristotelian,Aristotelian
Arithmetic,Mon so hoc
Ark,Ark
Arm-wrestling,Vat tay
Armada,Armada
Armadillo,Armadillo
Armageddon,Tan the
Armament,Vu khi
Armature,Phan ung
Armband,Bang tang
Armchair,Ghe banh
Armhole,Lo canh tay
Armistice,Dinh chien
Armlet,Armlet
Armor,Ao giap
Armorial,Armorial
Armour,Ao giap
Armourer,Tho boc thep
Armoury,Kho vu khi
Armpit,Nach
Armrest,Tay vin
Arms,Canh tay
Army,Quan doi
Arnica,Kim sa
Aroma,Huong thom
Aromatherapy,Lieu phap huong thom
Aromatic,Thom
Arose,Nay sinh
Around,Vong quanh
Arouse,Danh thuc
Arpeggio,Arpeggio
Arrack,Arrack
Arraign,Sap xep
Arrange,Sap xep
Arrangement,Su sap xep
Arrant,Arrant
Arras,Arras
Array,Mang
Arrears,Truy thu
Arrest,Bat giu
Arrester,Ke bat giu
Arris,Arris
Arrival,Den
Arrive,Den
Arriviste,moi noi
ArriÃ¨re-pensÃ©e,ArriA�re penee
Arrogant,Kieu ngao
Arrogate,Tham van
Arrow,Mui ten
Arrowhead,Dau mui ten
Arrowroot,Bot hoang tinh
Arse,Mong
Arsehole,Lo hong
Arsenal,Arsenal
Arsenic,Thach tin
Arson,Dot pha
Art,My thuat
Artefact,Do tao tac
Arterial,Dong mach
Arteriosclerosis,Xo cung dong mach
Artery,Dong mach
Artesian,Artesian
Artful,Nghe thuat
Arthritis,Viem khop
Arthropod,Dong vat chan dot
Artichoke,Atiso
Article,Bai bao
Articled,Co khop
Articular,Khop
Articulate,Khop noi
Articulated,Khop noi
Articulation,Khop noi
Artifact,Do tao tac
Artifice,Nghe thuat
Artificer,Nguoi dieu khien
Artificial,Nhan tao
Artillery,Phao binh
Artisan,Nghe nhan
Artist,Hoa si
Artiste,Hoa si
Artistic,Thuoc ve nghe thuat
Artless,Khong nghe thuat
Artwork,Anh minh hoa
Arty,Arty
Arum,Arum
Aryan,Aryan
ArÃªte,Arete
As,Nhu
Asafetida,Bot nghe
Asafoetida,Asafoetida
Asbestos,Amiang
Ascend,Len
Ascendancy,Thang tien
Ascendant,Len cao
Ascension,Thang thien
Ascent,Di len
Ascertain,Xac minh
Ascetic,Kho hanh
Ascii,Ascii
Ascorbic,Ascorbic
Ascribe,Thuong gan
Asepsis,Vo trung
Asexual,Vo tinh
Ashamed,Ho then
Ashcan,ashkan
Ashen,Ashen
Ashkenazi,Ashkenazi
Ashlar,Ashlar
Ashore,Len bo
Ashram,Ashram
Ashtray,Gat tan
Ashy,Ashy
Asian,Chau A
Asiatic,Chau a
Aside,Qua mot ben
Asinine,Ngu si
Ask,Hoi
Askance,Nghien
Askew,Xien
Aslant,su tu
Asleep,Ngu
Asp,Asp
Asparagus,Mang tay
Aspect,Dien mao
Aspen,Aspen
Asperity,Asperity
Aspersion,Aspersion
Asphalt,Nhua duong
Asphodel,Asphodel
Asphyxia,Su? ngo?p tho?
Asphyxiate,Lam ngat tho
Aspic,asp
Aspidistra,Aspidistra
Aspirant,Khat vong
Aspirate,Khat vong
Aspiration,Khat vong
Aspirator,May hut bui
Aspire,Khao khat
Aspirin,Aspirin
Ass,Mong
Assagai,Ben ngoai Assa
Assail,Tan cong
Assassin,Ke am sat
Assassinate,Am sat
Assault,Tan cong
Assay,Khao nghiem
Assegai,Assegai
Assemblage,Lap rap
Assemble,Tap hop
Assembler,Nguoi lap rap
Assembly,Cuoc hop
Assent,Dong y
Assert,Khang dinh
Assertion,Qua quyet
Assertive,Qua quyet
Assess,Danh gia
Assessor,Nguoi danh gia
Asset-stripping,Chiem doat tai san
Asset,Tai san
Asseverate,Dam bao
Asshole,Lo dit
Assiduous,Vat va
Assign,Giao pho
Assignation,Su phan cong
Assignee,Nguoi duoc chuyen nhuong
Assignment,Phan cong
Assimilate,Dong hoa
Assist,Ho tro
Assistant,Tro ly
Assizes,Can
Assoc.,PGS 
Associate,Ket hop
Association,Su ket hop
Assonance,Assonance
Assort,Phan loai
Assorted,Thap cam
Assortment,Phan loai
Assuage,Assuage
Assume,Gia dinh
Assuming,Gia dinh
Assumption,Gia thiet
Assurance,Dam bao
Assure,Cam doan
Assuredly,Dam bao
Ast,Ast
Astatine,Astatine
Aster,Aster
Asterisk,Dau hoa thi
Astern,Astern
Asteroid,Tieu hanh tinh
Asthma,Benh hen suyen
Asthmatic,Benh hen suyen
Astigmatism,Loan thi
Astir,Astir
Astonish,Astonish
Astound,Kinh ngac
Astraddle,Astraddle
Astrakhan,Astrakhan
Astral,Astral
Astray,Lac duong
Astride,Astride
Astringent,Lam se khit lo chan long
Astrolabe,Astrolabe
Astrology,Chiem tinh hoc
Astronaut,Phi hanh gia
Astronautics,Du hanh vu tru
Astronomical,Thien van
Astronomy,Thien van hoc
Astrophysics,Vat ly thien van
Astute,Sac sao
Asunder,Tach ra
Asylum,Ti nan
Asymmetry,Khong doi xung
At-home,O nha
At,Tai
Atavism,Atavism
Ataxia,Roi loan
Ate,An
Atelier,Xuong
Atheism,Thuyet vo than
Atherosclerosis,Xo vua dong mach
Athirst,Chuc may man
Athlete's,Cua van dong vien
Athlete,Luc si
Athletic,Khoe manh
Athletics,The van hoi
Atlantic,Dai Tay Duong
Atlas,ban do
Atmosphere,Khi quyen
Atmospherics,Khi quyen
Atoll,Atoll
Atom,Nguyen tu
Atomic,Nguyen tu
Atomize,Atomize
Atomizer,Atomizer
Atonal,Atonal
Atone,Chuoc loi
Atonement,Su chuoc toi
Atrium,Tam nhi
Atrocious,Gom ghiec
Atrocity,Tan bao
Atrophy,Teo
Atropine,Atropine
Attach,Gan
Attachment,Tap tin dinh kem
AttachÃ©,Dinh kem
Attack,Tan cong
Attain,Dat duoc
Attainment,Dat duoc
Attar,Attar
Attempt,No luc
Attend,Tham du
Attendance,Su tham du
Attendant,Nguoi phuc vu
Attendee,Nguoi tham du
Attention,Chu y
Attentive,Chu y
Attenuate,Giam dan
Attest,Chung thuc
Attic,Gac xep
Attire,Trang phuc
Attitude,Thai do
Attitudinize,Attitudinize
Attorney-general,Bo Truong Tu Phap
Attorney,Luat su
Attract,Thu hut
Attraction,Suc hut
Attractive,Hap dan
Attribute,Thuoc tinh
Attributive,Thuoc tinh
Attrition,Su tap trung
Attune,Attune
Atypical,Khac biet
Au,Tai
Aubergine,Aubergine
Aubrietia,Aubrietia
Auburn,Auburn
Auction,Ban dau gia
Auctioneer,Dau gia vien
Audacious,Thinh giac
Audible,Co the nghe duoc
Audience,Su tiep kien
Audio-,Am thanh 
Audio,Am thanh
Audiotape,Bang am thanh
Audiovisual,Nghe nhin
Audit,Kiem toan
Audition,Thu giong
Auditor,Kiem toan vien
Auditorium,Khan phong
Auditory,Thinh giac
Augean,Augean
Auger,Auger
Aught,Aught
Augment,Tang
Augmentative,Bo sung
Augur,Chiem tinh gia
Augury,Augury
August,Thang tam
Augustan,Augustan
Auk,Auk
Auld,Auld
Aunt,Di
Auntie,Bac gai
Aura,Hao quang
Aural,Aural
Aureate,Aureate
Aureole,Aureole
Auricle,Auricle
Auricula,Auricula
Auriferous,Auriferous
Aurochs,Aurochs
Aurora,rang Dong
Auscultation,Nghe tim thai
Auspice,Duoi su bao tro cua
Auspicious,Diem lanh
Aussie,Aussie
Austere,Khac kho
Austerity,That lung buoc bung
Austral,Austral
Australasian,Nguoi Australasian
Australian,nguoi Uc
Autarchy,Autarchy
Autarky,Autarky
Authentic,That
Authenticate,Xac thuc
Author,Tac gia
Authoritarian,Nguoi doc doan
Authoritative,Co tham quyen
Authority,Tham quyen
Authorize,Uy quyen
Authorized,Duoc uy quyen
Authorship,Quyen tac gia
Autism,Chung tu ky
Auto-,Tu? do?ng 
Auto-da-fÃ©,Tu hien
Auto-suggestion,Tu dong de xuat
Auto,Tu? do?ng
Autobahn,Autobahn
Autobiography,Hoi ky
Autoclave,Noi hap
Autocracy,Chuyen quyen
Autocrat,Autocrat
Autocross,Autocross
Autocue,Autocue
Autograph,Chu ky
Autoimmune,Tu mien dich
Automat,Tu dong
Automate,Tu dong hoa
Automatic,Tu dong
Automation,Tu dong hoa
Automatism,Chu nghia tu dong
Automaton,Automaton
Automobile,O to
Automotive,O to
Autonomous,Tu chu
Autonomy,Quyen tu tri
Autopilot,Lai tu dong
Autopsy,Kham nghiem tu thi
Autoroute,Xa lo
Autostrada,Xa lo
Autumn,Mua thu
Auxiliary,Phu tro
Auxin,Auxin
Av,Cua
Avail,Co san
Available,Co san
Avalanche,Tuyet lo
Avant-garde,Tien phong
Avarice,Avarice
Avatar,hinh dai dien
Ave.,Ave 
Ave,Ave
Avenge,Bao thu
Avenue,Dai lo
Aver,Co
Average,Trung binh
Averse,Khong thich
Aversion,Chan ghet
Avert,Avert
Avesta,Avesta
Aviary,Aviary
Aviation,Hang khong
Aviator,Phi cong
Avid,Avid
Avionics,Avionics
Avocado,Trai bo
Avocet,Avocet
Avoid,Tranh xa
Avoirdupois,Avoirdupois
Avow,Avow
Avuncular,Avuncular
Await,Cho doi
Awake,Thuc tinh
Awaken,Thuc tinh
Award,Phan thuong
Aware,Nhan thuc
Awash,Awash
Away,Xa
Awe-inspiring,Kinh ngac
Awe,Awe
Aweigh,Aweigh
Awesome,Dang kinh ngac
Awful,Kinh khung
Awfully,Kinh khung
Awhile,Dang gia
Awkward,Vung ve
Awl,Awl
Awn,Awn
Awning,Mai hien
Awoke,Tinh day
Awoken,Tinh tao
Awol,Awol
Awry,Khong nhu y
Ax,Cay riu
Axe,Cay riu
Axial,Truc
Axil,Axil
Axiom,Tien de
Axis,Truc
Axle,Truc
Axolotl,Axolotl
Ayatollah,Ayatollah
Aye,Co hoi
Azalea,cay do quyen
Azimuth,Phuong vi
Azt,Cai do
Aztec,Aztec
Azure,Azure
B.,B 
B.f.,B f 
B.h.p.,B h p 
B.mus.,B mus 
B.sc.,B sc 
B.th.u.,B th u 
B,B
Ba,Khong
Baa,Baa
Babble,Lam nham
Babe,Em yeu
Babel,Babel
Baboon,Khi dau cho
Baby,Dua be
Babygro,Babygro
Babysit,Trong tre
Baccalaureate,Tu tai
Baccarat,Baccarat
Bacchanal,bachchanal
Bacchanalia,Bacchanalia
Bacchant,Bachnat
Bacchic,Bacchic
Baccy,Baccy
Bachelor,Cu nhan
Bacillus,Bacillus
Back-bencher,Bang ghe sau
Back-boiler,Lo hoi phia sau
Back-breaking,Back break
Back-burner,Den chieu hau
Back-crawl,Thu thap thong tin tro lai
Back-formation,Doi hinh tro lai
Back-seat,Ghe sau
Back-stop,Dung lai
Back-to-back,Back to back
Back-to-nature,Tro lai thien nhien
Back,Mat sau
Backache,Dau lung
Backbiting,Backbiting
Backbone,Xuong song
Backchat,Backchat
Backcloth,Khan trai san
Backcomb,Backcomb
Backdate,Lui ngay
Backdrop,Phong nen
Backfire,Phan tac dung
Backgammon,Co tho cao
Background,Tieu su
Backhand,Trai tay
Backhanded,Duoc chia se lai
Backhander,Backhander
Backing,Sao luu
Backlash,Phan ung du doi
Backlist,Backlist
Backlog,Ton dong
Backpack,Balo
Backrest,Tua lung
Backside,Mat sau
Backslide,Backslide
Backspace,Backspace
Backspin,Backspin
Backstage,Hau truong
Backstairs,Cau thang sau
Backstitch,Backstitch
Backstreet,Backstreet
Backstroke,Boi ngua
Backtrack,Nhac nen
Backup,Sao luu
Backward,Phia sau
Backwards,Nguoc
Backwash,Rua nguoc
Backwater,Backwater
Backwoods,Backwoods
Backyard,San sau
Bacon,Thit lon muoi xong khoi
Bacteriology,Vi khuan hoc
Bacterium,Vi khuan
Bad-mouth,Loi noi doc ac
Bad-tempered,Nong tinh
Bad,Xau
Baddy,Baddy
Bade,Bade
Badge,Huy hieu
Badger,Lung
Badinage,noi dua
Badly,Te
Badminton,Cau long
Baffle,Vach ngan
Bafta,Bafta
Bag,Cai tui
Bagatelle,Chuyen vat vanh
Bagel,Banh mi tron
Baggage,Hanh ly
Baggy,Rong thung thinh
Bagpipe,Ken tui
Baguette,Banh mi dai
Bah,Bah
Baha'i,Bahai
Bailey,Bailey
Bailiff,Thua phat lai
Bailiwick,Khu
Bain-marie,Tam nuoc
Bairn,byron
Bait,Moi
Baize,Baize
Bake,Nuong
Baked,Nuong
Bakelite,Bakelite
Baker's,Bakers
Baker,tho lam banh
Bakery,Cua hang banh mi
Bakewell,Bakewell
Baking-powder,Bot no
Baking-soda,Baking soda
Baklava,Baklava
Baksheesh,thuong
Balaclava,Balaclava
Balalaika,Balalaika
Balance,THANG BANG
Balcony,Ban cong
Bald,Hoi
Balderdash,Balderdash
Baleen,Baleen
Baleful,Khong may
Balk,Balk
Balkan,Balkan
Ball-and-socket,Qua bong va o cam
Ball-bearing,O bi
Ball-point,Diem bi
Ball,Trai bong
Ballad,Ban ballad
Balladry,Balladry
Ballast,Chan luu
Ballboy,Ballboy
Ballcock,Da cau
Ballerina,Dien vien mua ba le
Ballet-dancer,Vu cong ballet
Ballet,Vo ballet
Ballista,Ballista
Ballistic,Dan dao
Ballistics,Dan dao
Ballocking,Ballocking
Ballocks,Bong bong
Balloon,Bong bay
Ballot-box,Thung phieu
Ballot-paper,Phieu bau
Ballot,Phieu
Ballpark,San bong
Ballroom,Phong khieu vu
Balls-up,Balls up
Bally,Bally
Ballyhoo,Ballyhoo
Balm,Balm
Balmy,Gan
Baloney,Vo van
Balsa,Balsa
Balsam,Balsam
Baluster,Baluster
Balustrade,Lan can
Bamboo,Cay tre
Bamboozle,Trezle
Ban,Ban
Banal,Thanh
Banana,Trai chuoi
Band-saw,Cua
Band,Ban nhac
Bandage,Bang bo
Bandanna,Khan ran
Bandbox,Hop bang
Bandeau,Bandeau
Banderole,Anh bia
Bandicoot,Bandicoot
Bandit,Ke cuop
Bandmaster,Bandmaster
Bandog,Bandog
Bandolier,Bandolier
Bandsman,Bandsman
Bandstand,san khau
Bandwagon,Phong trao
Bandwidth,Bang thong
Bane,Tai uong
Bang,Bang
Banger,Banger
Bangle,Vong deo tay
Banian,Bunion
Banish,Day ai
Banister,Lan can
Banjo,Banjo
Banknote,Tien giay
Bankrupt,Pha san
Banksia,Banksia
Banner,Anh bia
Bannister,Bannister
Bannock,Bannock
Banns,Cam
Banquet,Yen tiec
Banquette,Banquette
Banshee,Banshee
Bantam,Bantam
Bantamweight,Bantamweight
Banter,Banter
Bantu,Cuu giup
Bantustan,Bantustan
Banyan,Banyan
Baobab,Baobab
Bap,Bap
Baptism,Le rua toi
Baptist,Baptist
Baptistery,Baptistery
Baptize,Rua toi
Bar,Quan ba
Barathea,Barathea
Barb,Barb
Barbarian,Man ro
Barbaric,Da man
Barbarism,Da man
Barbarity,Barbarity
Barbarous,Da man
Barbecue,Tiec nuong ngoai troi
Barbed,Co gai
Barbel,Barbel
Barbell,Ta don
Barber's,Tho cat toc
Barber-shop,Tiem hot toc
Barber,tho hot toc
Barberry,Barberry
Barbican,Barbican
Barbie,Bup be barbie
Barbiturate,Barbiturat
Barbituric,Barbituric
Barbour,Barbour
Barcarole,Barcarole
Bard,Thi nhan
Bare,Chi
Bareback,Di chan tran
Barefaced,Barefaced
Barefoot,Chan tran
Bareheaded,Dau tran
Barely,Vua du
Bargain,Mac ca
Barge,Xa lan
Bargeboard,Bang lon
Bargee,Xa lan
Bargepole,Barzhepole
Baritone,Baritone
Barium,Bari
Barker,Barker
Barley,Lua mach
Barm,Men
Barmaid,Co hau ban
Barman,Barman
Barmy,Len men
Barn-owl,Barn cu
Barn,Chuong trai
Barnacle,Barnacle
Barney,Barney
Barnstorm,Barnstorm
Barnyard,Chuong
Barograph,barograph
Barometer,Ap ke
Baron,Baron
Baroness,Nam tuoc
Baronet,Baronet
Barony,Nam tuoc
Baroque,Baroque
Barque,Barque
Barracouta,Barracouta
Barracuda,Ca nhong
Barrage,Barrage
Barratry,Barratry
Barre,Barre
Barrel-organ,Nhac cu thung
Barrel,Thung
Barren,Can coi
Barricade,Rao chan
Barrier,Rao chan
Barring,Barring
Barrister,Luat su
BarrÃ©,BarrA �
Bartender,Nguoi pha che ruou
Barter,Doi hang
Baryon,Baryon
Baryta,Baryta
Barytes,Nang
Bas-relief,Cuu tro
Basal,Bazo
Basalt,Da bazan
Base,Co so
Baseball,Bong chay
Baseless,Vo can cu
Baseline,Duong co so
Basement,Tang ham
Bases,Can cu
Bash,Bash
Bashful,Bashful
Basic,Nen tang
Basil,Hung que
Basilica,Vuong cung thanh duong
Basilisk,Basilisk
Basin,long chao
Basis,Nen tang
Bask,Tam nang
Basket,Ro
Basketball,Bong ro
Basketry,Bong ro
Basketwork,Nghe dan ro gia
Basking,Basking
Basque,Xu Basque
Bass,Am tram
Basset,Basset
Bassinet,Bassinet
Basso,Am tram
Bassoon,Bassoon
Bast,Do khon
Bastard,Do khon
Bastardize,Do khon
Bastinado,bastinado
Bastion,Bastion
Batch,Lo hang
Bated,Bated
Bath,Bon tam
Bathe,Tam rua
Bathhouse,Nha tam
Bathing-costume,Quan ao tam
Bathos,Chieu sau
Bathrobe,Ao choang tam
Bathroom,Phong tam
Bathyscaphe,Bathyscaphe
Bathysphere,Bathysphere
Batik,Batik
Batiste,Batiste
Batman,Nguoi doi
Baton,Baton
Batrachian,Batrachian
Bats,Doi
Batsman,Batsman
Battalion,Tieu doan
Battenberg,Battenberg
Battered,Ban nat
Battering-ram,Dung luong pin
Battery,Ac quy
Battle-cruiser,Tuan duong ham
Battle-cry,Tran khoc
Battle,Tran danh
Battleaxe,Battleaxe
Battlebus,Battlebus
Battledore,Battledore
Battledress,Trang phuc thi dau
Battlefield,Chien truong
Battlement,Tran chien
Battleship,Tau chien
Batty,Batty
Batwing,Batwing
Bauble,Bauble
Baulk,Baulk
Bauxite,Bauxit
Bawdy-house,Bawdy house
Bawdy,Bawdy
Bawl,Keu
Bay-leaf,La nguyet que
Bay,Bay
Bayberry,Bayberry
Bayonet,Luoi le
Bazaar,Bazaar
Bazooka,Dat doi
Bb,Bb
Bbc,Bbc
Bc,Bc
Bcg,Bcg
Bd,Bd
Bdellium,Bdellium
Be,Thi la o
Bevel,Goc xien
Beverage,Do uong
Bevy,Bevy
Bewail,Can than
Beware,Hay coi chung
Bewilder,Hoang mang
Bewitch,Bewitch
Beyond,Vuot ra ngoai
Bezel,Bezel
Bezique,Bezique
Bhang,Bhang
Bi-,Voi mot 
Bi,Voi mot
Biannual,Mot nam hai lan
Bias,Thien kien
Biathlon,Biathlon
Bib-cock,Yem cock
Bib,Yem
Bible-bashing,Doc kinh thanh
Bible,Kinh thanh
Bibliography,Thu muc
Bibliophile,Nguoi ham sach
Bibulous,Bibulous
Bicameral,Bicameral
Bicarb,The bai
Bicarbonate,Bicacbonat
Bicentenary,Hai tram nam
Bicentennial,Hai tram nam
Biceps,Bap tay
Bicker,Cai nhau
Bicuspid,Hai la
Bicycle,Xe dap
Bid,Dau thau
Biddable,Co the dau thau
Bidding,Dau thau
Biddy,Biddy
Bide,Bide
Bidet,Chau rua ve sinh
Biennial,Hai nam
Bier,Bia
Biff,Thoi
Bifid,Bifid
Bifocal,Hai trong
Bifurcate,Phan doi
Big-head,Dau lon
Big-hearted,Co tam
Big,To lon
Bigamy,Bigamy
Bight,Bight
Bigot,Bigot
Bigwig,Quan to
Bijou,Bijou
Bike,Xe dap
Bikini,Bikini
Bilateral,Song phuong
Bilberry,Cay nham le
Bile,Tham chi
Bilge,Bilge
Bilharzia,Bilharzia
Biliary,Tui mat
Bilingual,Song ngu
Bilious,Bilious
Bilk,Bilk
Bill,Hoa don
Billabong,Billabong
Billboard,Bien quang cao
Billet-doux,Ve mem
Billhook,Billhook
Billiards,Bida
Billion,Ty
Billionaire,Ty phu
Billow,Billow
Billposter,Billposter
Bimbo,Bimbo
Bimetallic,Luong kim
Bin-liner,Bin liner
Bin,Thung rac
Binary,Nhi phan
Binaural,Binaural
Bind,Troi buoc
Binder,Chat ket dinh
Bindery,Bindery
Binding,Rang buoc
Bindweed,Cay bim bip
Bine,Tot
Binge,Binge
Bingo,Choi lo to
Binman,Binman
Binnacle,Thung rac
Binocular,Ong nhom
Binoculars,Ong nhom
Binomial,Nhi thuc
Bint,Bint
Bio-,Bio 
Biochemistry,Hoa sinh
Biodegradable,Phan huy sinh hoc
Bioengineering,Ky thuat sinh hoc
Biogenesis,Sinh sinh hoc
Biography,Tieu su
Biological,Sinh hoc
Biology,Sinh hoc
Bionic,Bionic
Bionics,Sinh hoc
Biophysics,Ly sinh
Biopsy,Sinh thiet
Biorhythm,Nhip sinh hoc
Biosphere,Sinh quyen
Biosynthesis,Sinh tong hop
Biotechnology,Cong nghe sinh hoc
Biotin,Biotin
Bipartisan,Luong dang
Bipartite,Bipartite
Biped,Biped
Biplane,Biplane
Bipolar,Luong cuc
Birch,Bach duong
Bird's-eye,Mat chim
Bird-bath,Tam chim
Bird-nesting,Lam to chim
Bird-watcher,Nguoi quan sat chim
Bird,Chim
Birdbrain,Birdbrain
Birdcage,Long chim
Birdie,Birdie
Birdlime,Birdlime
Birdseed,Hat chim
Birdsong,Birdsong
Biretta,Biretta
Biro,Cuc
Birth,Sinh
Birthday,Ngay sinh nhat
Birthing,Birthing
Birthmark,Vet bot
Birthplace,Noi sinh
Birthright,Quyen khai sinh
Birthstone,Da sinh
Biscuit,Banh quy
Bisect,Bisect
Bisexual,Luong tinh
Bishop,Bishop
Bishopric,Bishopric
Bismuth,Bismuth
Bison,Bo rung
Bister,Anh trai
Bistre,Bistre
Bistro,Bistro
Bit,Chut
Bitch,Cho cai
Bitchy,Bitchy
Bite,Can
Bitter-sweet,Vua dang vua ngot
Bitter,Vi dang
Bittern,Dang
Bitty,Bitty
Bitumen,Bitum
Bituminous,Bitum
Bivalve,Hai manh vo
Bivouac,Bivouac
Biz,chung toi
Bizarre,Ky quai
Bk,Bk
Bl,Bl
Blab,Blab
Blabber,Blabber
Black,Mau den
Blackball,Blackball
Blackberry,Blackberry
Blackbird,Blackbird
Blackboard,Bang den
Blackcap,Chim bong lau
Blackcurrant,Blackcurrant
Blacken,Boi den
Blackfly,Dom dom
Blackguard,Blackguard
Blackhead,Mun dau den
Blacking,Danh bong
Blackjack,Xi dach
Blacklead,Chi den
Blackleg,Blackleg
Blacklist,Danh sach den
Blackmail,Tong tien
Blackout,Mat dien
Blackshirt,Ao den
Blacksmith,Tho ren
Blackthorn,Blackthorn
Bladder,Bong dai
Bladderwrack,Bladderwrack
Blade,Luoi
Blame,Do toi
Blanch,Blanch
Blancmange,Blancmange
Bland,Giua
Blandish,A dua
Blank,Trong
Blanket,Cai men
Blare,La
Blarney,Blarney
Blaspheme,Bang bo
Blasphemy,Bang bo
Blast-furnace,Lo luyen sat
Blast-off,No ra
Blast,Vu no
Blasted,No
BlasÃ©,Jaded
Blatant,Blatant
Blather,Blather
Blazer,Ao blazer
Blazon,huy hieu
Bleach,Chat tay trang
Bleak,Am dam
Bleary-eyed,Chay mau mat
Bleary,Bleary
Bleat,Keu be be
Bleed,Chay mau
Bleeder,Bleeder
Bleeding,Su chay mau
Bleep,Ngu nuong
Bleeper,Bleeper
Blemish,Ban dang dua
Blench,Blench
Blend,Tron
Blender,May xay
Blenny,Blenny
Bless,Ban phuoc
Blessed,Hanh phuc
Blessing,Ban phuoc
Blether,Blether
Blew,Blew
Blight,Nhat mau
Blighter,Blighter
Blighty,Hoi gay
Blimey,Blimey
Blimp,Khinh khi cau
Blind,Mu
Blindfold,Bit mat
Blindworm,Giun mu
Blink,Chop mat
Blinker,Nhap nhay
Blinking,Nhap nhay
Blip,Blip
Bliss,Phuc lac
Blister,Mun rop
Blithe,Vui tuoi
Blithering,Blithering
Blitt.,Blitt 
Blitz,Chop nhoang
Blitzkrieg,chien tranh chop nhoang
Blizzard,Bao tuyet
Bloat,Sung len
Bloater,Phoi kho
Blob,Bai
Bloc,Khoi
Block,Khoi
Blockade,Phong toa
Blockage,Tac nghen
Blockbuster,Bom tan
Blockhead,Blockhead
Blockhouse,Lo cot
Bloke,Bloke
Blond,Toc vang
Blood-curdling,Dong mau
Blood-heat,Nhiet huyet
Blood-letting,Cho mau
Blood-money,Tien mau
Blood-poisoning,Nhiem doc mau
Blood-vessel,Mach mau
Blood,Mau
Bloodhound,Cho san mau
Bloodless,Khong co mau
Bloodshed,Do mau
Bloodshot,Do ngau
Bloodstain,Vet mau
Bloodstream,Dong mau
Bloodsucker,Ke hut mau
Bloodthirsty,Khat mau
Bloody-minded,Dau oc co mau
Bloody,Dinh mau
Bloom,Hoa
Bloomers,Bloomers
Blooming,No hoa
Blossom,Hoa
Blot,Tham kho
Blotch,Blotch
Blotter,Blotter
Blotting-paper,Giay tham
Blotto,Blotto
Blouse,Ao canh
Blouson,Ao khoac
Blow-by-blow,Cu don
Blow-dry,Thoi kho
Blow-hole,Lo thoi
Blow-job,Blow job
Blow-out,Thoi ra
Blow-up,No tung
Blower,Quat gio
Blowfly,Dom dom
Blowlamp,Blowlamp
Blown,Thoi bay
Blowpipe,Ong thoi
Blowtorch,Blowtorch
Blowy,Thoi phong
Blowzy,Blowzy
Blub,Blub
Blubber,Mo ca voi
Bludgeon,Bludgeon
Blue-collar,Co xanh
Blue-eyed,Mat xanh
Blue-pencil,But chi mau xanh
Blue,Mau xanh da troi
Bluebell,Chuong xanh
Blueberry,Viet quat
Bluebottle,Cay mua
Bluegrass,Bluegrass
Blueprint,Ban ve thiet ke
Blues,Blues
Bluestocking,Bluestocking
Bluish,Hoi xanh
Blunder,Sai lam
Blunderbuss,Blunderbuss
Blunt,Cun
Blur,Mo ho
Blurb,Noi bat
Blurt,Thang thot
Blush,Ma hong
Blusher,Phan ma
Bluster,Bluster
Bm,Bm
Bma,Me
Bmx,Bmx
Bo,Bo
Boa,Tot
Boar,Heo rung
Board-game,Tro choi tren ban co
Board,Tam van
Boarder,Noi tru
Boarding-house,Noi tru
Boarding-school,Truong noi tru
Boardroom,Phong hop
Boast,Khoe khoang
Boastful,Khoe khoang
Boat-hook,Moc thuyen
Boat-house,Nha thuyen
Boat-train,Tau thuyen
Boat,Con thuyen
Boater,Boater
Boating,Cheo thuyen
Boatman,Nguoi cheo thuyen
Boatswain,Boatswain
Bob-sled,Bob sled
Bob-sleigh,Bob xe truot tuyet
Bobbin,Suot chi
Bobble,Bobble
Bobby,Bobby
Bobtail,Bobtail
Boche,Boche
Bod,Cai do
Bode,Bode
Bodega,Bodega
Bodge,Bodge
Bodice,Vat ao
Bodily,Than the
Bodkin,Cay tram
Body-blow,Don co the
Body-building,Xay dung co the
Body,Than hinh
Bodyguard,Ve si
Bodysuit,Ao lien quan
Bodywork,Than xe
Boer,Nong phu
Boffin,Quan tai
Bog,Chua
Bogeyman,Bogeyman
Boggle,Boggle
Bogie,Bogie
Bogus,Bogus
Bogy,Bogy
Bogyman,Bogyman
Bohemian,Bohemian
Boiler-room,Phong noi hoi
Boiler,Noi hoi
Boiling,Soi
Boisterous,Huyen nao
Bold,In dam
Bole,Than cay
Bolero,Bolero
